Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
PKI Environment Build Precursor - 50 Points,E1 Evidence - Software and ISO,"Readable annotated evidence shows the VMware version, correct Ubuntu architecture, and matching published ISO digest.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",2,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q1 Qualitative - Hash and architecture,Answers explain why a published hash provides assurance and why the selected guest architecture is correct.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",3,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",1.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E2 Evidence - CA VM,"Annotated evidence shows pki-ca on Ubuntu 24.04 with assigned resources, NAT connectivity, active SSH, and the repository cloned.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q2 Qualitative - CA VM interpretation,"Annotation correctly identifies the role, architecture, NAT address or default route, and repository verification.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E3 Evidence - Web-server VM,"Annotated evidence shows pki-server on Ubuntu 24.04 with Apache active, HTTP responding locally, and the repository cloned.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q3 Qualitative - HTTP interpretation,Annotation distinguishes the working HTTP service from HTTPS and identifies the relevant service result.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E4 Evidence - Client VM,"Annotated evidence shows pki-client on Ubuntu Desktop 24.04 with Firefox, NAT connectivity, and the repository cloned.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q4 Qualitative - Client interpretation,"Annotation identifies the client role, architecture, and successful Internet or package-installation path.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E5 Evidence - Isolated network,Annotated evidence shows the correct Workstation LAN Segment or Fusion custom PKI-LAB network.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q5 Qualitative - Isolation properties,"Annotation identifies the settings that prevent host, DHCP, NAT, and physical-network access.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
