Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
Three-VM Public-Key Infrastructure Lab - 50 Points,E1 Evidence - Server key and CSR,"Annotated evidence shows the personalized CN and SAN, a valid CSR signature, and protected server-key permissions without exposing private material.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",5,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q1 Qualitative - CSR identity and custody,Annotation explains the identity asserted by the CSR and demonstrates correct private-key custody.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",2,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",1,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E2 Evidence - Certificate authority,"Annotated evidence shows the CA database structure, protected CA key, and inspected self-signed root certificate.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",4,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q2 Qualitative - Root CA answers,"Answers accurately address self-signing fields, CA authorization, Key Usage, and public-certificate versus private-key custody.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",6,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",3,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E3 Evidence - Review and issue,"Annotated evidence shows CSR review on the CA, controlled SAN issuance, the issued certificate, and updated CA database.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",5,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q3 Qualitative - Issuance answers,"Answers explain serial and database linkage, critical CA:FALSE, and why the CA controls requested extensions.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",5,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",2.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E4 Evidence - Retrieve and verify,"Annotated evidence shows retrieval of public certificates and successful chain, hostname, and public-key-match verification.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",4,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q4 Qualitative - Verification meaning,Annotation explains what the verification proves and identifies that no private key crossed machines.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E5 Evidence - Deploy HTTPS,"Annotated evidence shows a valid Apache configuration, TCP 443 listening, and the personalized site served over HTTPS.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",5,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q5 Qualitative - HTTPS components,"Annotation connects the configured certificate, retained server key, hostname, and successful service result.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E6 Evidence - Client trust,"Annotated evidence shows failure before trust, success with explicit trust, Firefox success after import, and rejection after removal.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",4,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",2,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q6 Qualitative - Trust interpretation,"Annotation distinguishes application-specific trust, browser trust, and server identity.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",2,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",1,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,E7 Evidence - Validation boundaries,"Annotated evidence and the completed matrix show correct results for IP address, unlisted hostname, validity, and trust removal.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q7 Qualitative - Validation analysis,"Explanations distinguish issuer trust, SAN authorization, validity, and proof of private-key possession.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",2,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",1,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
Three-VM Public-Key Infrastructure Lab - 50 Points,Q8 Qualitative - Final reflection,"Reflection explains why private-key custody, CA signature, authorized SAN, validity, and client trust are jointly required.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
